Root,Akkadian_Terms
nzm,nazāmu(m)
nzp,nazāpum
nzq,nazāqu(m)
nzr,nazāru(m)
nzz,"našāšu I; nazāzu(m) I"
pʾd,"pâdu(m); puādum"
pʾḫ,puḫḫu(m)
pʾn,pênu
pʾq,"piāqum; puāgu(m); puqqu(m)"
pʾr,pâru(m) I.II
pʾṣ,paʾāṣu(m)
pʾš,"pâšu; puāšu(m)"
pʾt/ṭ,puādum
pdʾ,padû(m)
pgʾ,pagû(m) II
pgl,pagālu
pḫʾ,peḫû(m) II
pḫd,paḫādu
pḫḫ,paḫāḫu
pḫr,paḫāru(m) II
pḫs/ṣ,paḫāsu
pḫz,"paḫāsu; paḫāzu"
pkl,pagālu
pkr,pakāru
plʾ,pelû III
pld,palādu II
plḫ,palāḫu(m)
plk,"palāku(m) I; palāqu(m)"
plkʾ,nepelkû(m)
pll,palālum
plq,palāqu(m)
pls,palāsu(m)
plsḫ,napalsuḫu
plš,palāšu(m)
plṭʾ,napalṭû
pnʾ,panû(m)
png/k,panāku
pnn,bunnunu
pqʾ,peqûm
pqd,paqādu(m)
pqr,baqāru(m) I
prʾ,"parāʾu(m) I.II; parû III.IV; purrûm II"
prd,parādu(m) I.II
prdʾ,napardû II
prḫ,"parāḫu I; parāku(m); parāʾu(m) I"
prk,parāku(m)
prkʾ,naparkû II
prq,parāqu
prqd,naparqudu(m)
prr,"parāru(m); šuparruru(m) II"
prs,parāsu(m) I.II
prsḫ,napalsuḫu
prṣ,parāṣu(m) I.II
prš,"naprušu(m) II; parāšu(m) II"
pršd,naparšudu(m)
pršm,paršumu
prṭ,parāṭu
przḫ,šuparzuḫu
psʾ,"pasû; pesû"
psḫ,pasāḫu(m)
psk,passuku
psl,pasālu(m)
psm,pasāmu(m)
psn,pesēnu
psq,pasāqu(m)
psr,bussuru(m)
pss,pasāsu(m)
pṣʾ,peṣû(m) II
pṣd,paṣādu(m)
pṣm,paṣāmu
pṣn,paṣānu(m)
pṣṣ,paṣāṣu
pšʾ,pašû(m)
pšḫ,pašāḫu(m)
pšl,"bašālu(m); pašālu(m) I"
pšm,pašāmum
pšn,pašānu
pšq,pašāqu(m)
pšr,pašāru(m)
pšš,pašāšu(m)
pšṭ,pašāṭu(m)
ptʾ,petû(m) II
ptḫ,patāḫu(m)
ptl,patālu(m)
ptn,patānu(m) I.II
ptq,patāqu(m) I.II
pṭm,paṭāmum
pṭr,paṭāru(m)
pzr,pazāru(m)
qʾʾ,"gâʾu; quʾʾû(m)"
qʾb,qâpu(m) I
qʾd,qâdu
qʾl,"qaʾālum; qâlu(m) I; qiālu(m)"
qʾp,"qâpu(m) I; qiāpu(m)"
qʾš,qiāšu(m)
qbʾ,"qabû(m) II; quʾʾû(m)"
qbl,"qitbulu; qubbulu"
qbr,qebēru(m)
qbt,"ḫabātu IV; qubbutu"
qdʾ,"qadāʾum; qadû III"
qdd,qadādu(m)
qdp,qadāpu
qdš,qadāšu(m)
qlʾ,qalû(m) II
qll,qalālu(m) I.II
